vehicle,vehicle_status,segment,segment_dv_m_per_s,segment_duration_yr,propellant,propellant_isp_s,propellant_cost_usd_per_kg,launch_usd_per_kg_to_leo,propellant_mass_per_kg_payload,in_space_prop_usd_per_kg_payload,total_usd_per_kg_payload_to_segment_end,catalog_date,pipeline_version
Falcon 9 (reusable),operational,LEO  →  GTO,2440.0,0.001,kerolox  (RP-1 / LOX),340.0,0.896969696969697,4253,1.0788115101939009,0.9676612333860444,4253.967661233386,2026-09-23,1.16.0
Falcon 9 (reusable),operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,Iodine  (Hall / gridded),2000.0,60.0,4253,0.25789054573126236,15.47343274387574,4268.4734327438755,2026-09-23,1.16.0
Falcon 9 (reusable),operational,LEO  →  hard NEA,8500.0,2.0,MPD  (lithium magnetoplasmadynamic),4000.0,80.0,4253,0.24195865667730865,19.356692534184692,4272.356692534185,2026-09-23,1.16.0
Falcon 9 (reusable),operational,NEA  →  Earth return (propulsive),5500.0,1.5,Hydrazine  (monoprop),220.0,75.0,4253,11.798020780482084,884.8515585361563,5137.8515585361565,2026-09-23,1.16.0
Falcon 9 (reusable),operational,Main belt  →  Earth return,7500.0,4.0,Electrospray  (ionic liquid),2500.0,2000.0,4253,0.35786669814274674,715.7333962854934,4968.733396285494,2026-09-23,1.16.0
Falcon 9 (reusable),operational,TLI  →  NRHO insertion,450.0,0.01,Mass driver  (regolith reaction mass),306.0,0.1,4253,0.1617857564635845,0.01617857564635845,4253.016178575646,2026-09-23,1.16.0
Falcon 9 (reusable),operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,Aerozine-50 / NTO  (hypergolic),320.0,53.33333333333333,4253,0.7951025966161802,42.40547181952961,4295.405471819529,2026-09-23,1.16.0
Falcon 9 (reusable),operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Solar sail  (photonic),inf,0.0,4253,0.0,0.0,4253.0,2026-09-23,1.16.0
Falcon 9 (reusable),operational,NRHO  →  low lunar orbit,730.0,0.01,Magnetic sail / electric sail,inf,0.0,4253,0.0,0.0,4253.0,2026-09-23,1.16.0
Falcon 9 (reusable),operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,Cold gas  (GN2),70.0,1.0,4253,2.710118075525866,2.710118075525866,4255.710118075526,2026-09-23,1.16.0
Falcon 9 (reusable),operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,Solar thermal steam  (water),190.0,2.0,4253,0.6209679475573551,1.2419358951147101,4254.241935895115,2026-09-23,1.16.0
Falcon 9 (reusable),operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,hydrolox  (LH2 / LOX),452.0,1.5999999999999999,4253,0.022816496641631545,0.03650639462661047,4253.0365063946265,2026-09-23,1.16.0
Falcon 9 (expendable),operational,LEO  →  Earth escape (C3=0),3200.0,0.003,Water  (electrothermal / resistojet),190.0,2.0,4561,4.57012101409357,9.14024202818714,4570.1402420281875,2026-09-23,1.16.0
Falcon 9 (expendable),operational,LEO  →  average NEA,6500.0,1.5,"Metal / water  (ALICE, Al + H2O)",210.0,2.5,4561,22.482711480934654,56.206778702336635,4617.206778702337,2026-09-23,1.16.0
Falcon 9 (expendable),operational,Asteroid station-keeping,200.0,0.5,Xenon  (Hall / ion),3000.0,10000.0,4561,0.006821267674013143,68.21267674013143,4629.212676740131,2026-09-23,1.16.0
Falcon 9 (expendable),operational,NEA  →  Earth return (aerocap),1500.0,1.5,FEEP  (indium field emission),6000.0,250.0,4561,0.0258206283800948,6.455157095023701,4567.455157095023,2026-09-23,1.16.0
Falcon 9 (expendable),operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,Nuclear pulse  (Orion),10000.0,50000.0,4561,0.032642510172600225,1632.1255086300112,6193.125508630012,2026-09-23,1.16.0
Falcon 9 (expendable),operational,LEO  →  GTO (perigee burn),2455.0,0.001,Green monoprop  (ASCENT / AF-M315E),235.0,500.0,4561,1.9016455329341797,950.8227664670899,5511.82276646709,2026-09-23,1.16.0
Falcon 9 (expendable),operational,LEO  →  GEO depot,4291.0,0.01,"Nuclear thermal  (LH2, NTP)",900.0,10.0,4561,0.6260894631306189,6.260894631306188,4567.260894631306,2026-09-23,1.16.0
Falcon 9 (expendable),operational,TLI  →  low lunar orbit (LOI),900.0,0.01,Momentum-exchange tether,inf,0.0,4561,0.0,0.0,4561.0,2026-09-23,1.16.0
Falcon 9 (expendable),operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,Solid  (APCP),285.0,15.0,4561,1.119901957477476,16.79852936216214,4577.798529362162,2026-09-23,1.16.0
Falcon 9 (expendable),operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,"VASIMR  (argon, variable Isp)",4000.0,10.0,4561,0.12155719681666799,1.21557196816668,4562.215571968167,2026-09-23,1.16.0
Falcon 9 (expendable),operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,methalox  (LCH4 / LOX),380.0,0.24347826086956526,4561,0.288294144945046,0.07019335703009817,4561.07019335703,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,LEO  →  GTO,2440.0,0.001,Water  (gridded ion / ECR),900.0,2.0,3333,0.3184494611591331,0.6368989223182662,3333.6368989223183,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,Li / F2 / H2  (tripropellant),542.0,37.5609756097561,3333,1.3317705042839014,50.0225994292002,3383.0225994292,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,LEO  →  main-belt asteroid,10500.0,3.5,Argon  (Hall / ion),1500.0,10.0,3333,1.0417378839408848,10.417378839408848,3343.4173788394087,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,NEA  →  Earth return (propulsive),5500.0,1.5,PPT  (PTFE pulsed plasma),1000.0,25.0,3333,0.7521505464083829,18.803763660209572,3351.8037636602094,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,Main belt  →  Earth return,7500.0,4.0,Direct fusion drive,10000.0,1000000.0,3333,0.07947921442828254,79479.21442828255,82812.21442828255,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,LEO  →  cislunar NRHO depot,3600.0,0.02,HTP  (98% peroxide monoprop),165.0,5.0,3333,8.251959563304872,41.25979781652436,3374.2597978165245,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,"Nuclear electric  (NEP, xenon)",5000.0,10000.0,3333,0.03815383739018641,381.5383739018641,3714.538373901864,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Beamed laser-thermal  (H2),900.0,10.0,3333,0.1836383954252423,1.836383954252423,3334.8363839542526,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,LEO  →  trans-Mars injection,3600.0,0.7,Krypton  (Hall),2000.0,300.0,3333,0.20147373807019697,60.44212142105909,3393.4421214210593,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,"Argon  (Hall / ion, cryogenic)",1500.0,10.0,3333,0.06309341354847708,0.6309341354847708,3333.630934135485,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,MMH / NTO  (hypergolic),336.0,59.528301886792455,3333,2.0054994079414077,119.38397418971965,3452.3839741897195,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Hydrazine arcjet,600.0,75.0,3333,0.017140511459250662,1.2855383594437997,3334.2855383594438,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,LEO  →  Earth escape (C3=0),3200.0,0.003,CO / LOX  (carbonaceous ISRU),260.0,0.7095541401273886,2414,2.507962340207841,1.7795350617780479,2415.779535061778,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,LEO  →  hard NEA,8500.0,2.0,UDMH / NTO  (hypergolic),318.0,47.5,2414,14.266433724626644,677.6556019197656,3091.6556019197656,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,Asteroid station-keeping,200.0,0.5,Mercury ion  (RETIRED),3000.0,60.0,2414,0.006821267674013143,0.40927606044078857,2414.409276060441,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,NEA  →  Earth return (aerocap),1500.0,1.5,Antimatter-catalysed,100000.0,6.25e+16,2414,0.001530744714925758,95671544682859.88,95671544685273.88,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,TLI  →  NRHO insertion,450.0,0.01,HTP / RP-1  (peroxide bipropellant),320.0,4.6875,2414,0.1541886071272669,0.7227590959090636,2414.722759095909,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,LEO  →  GTO (perigee burn),2455.0,0.001,Solar thermal  (LH2),800.0,10.0,2414,0.36741953530826965,3.6741953530826965,2417.6741953530827,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,kerolox  (RP-1 / LOX),340.0,0.896969696969697,2414,0.5624823419998384,0.5045296158544005,2414.5045296158546,2026-09-23,1.16.0
