segment,dv_m_per_s,duration_yr,notes,catalog_date,pipeline_version
surface  →  LEO ascent,9400,0.001,"Textbook value including gravity + drag losses (NASA SP-125, Curtis 'Orbital Mechanics for Engineering Students').  Already priced into LAUNCH_VEHICLES.",2026-09-07,1.14.0
LEO  →  GTO,2440,0.001,Standard GEO transfer Δv (NASA orbital mechanics handbook).,2026-09-07,1.14.0
LEO  →  Earth escape (C3=0),3200,0.003,C3=0 escape from 200-km LEO; same magnitude as TLI.,2026-09-07,1.14.0
LEO  →  easy NEA (low-Δv class),4500,1.0,Per Elvis et al. 2011 (arXiv:1105.4152): ultra-low Δv NEAs are ~65 of 6699 known NEOs as of 2010 — bottom decile of accessibility.,2026-09-07,1.14.0
LEO  →  average NEA,6500,1.5,Median NEA Δv per low-Δv NEA survey (arXiv:1406.5027); matches OSIRIS-REx Bennu mission profile.,2026-09-07,1.14.0
LEO  →  hard NEA,8500,2.0,Upper-decile NEA (inclined or eccentric); approaches MBA territory.,2026-09-07,1.14.0
LEO  →  main-belt asteroid,10500,3.5,Per Taylor et al. 2018 'Δv map of Main Belt Asteroids' (Acta Astronautica 146:73) — Hohmann transfer to ~2.7 AU.,2026-09-07,1.14.0
Asteroid station-keeping,200,0.5,"Proximity ops, sample retrieval — OSIRIS-REx station-keeping budget.",2026-09-07,1.14.0
NEA  →  Earth return (propulsive),5500,1.5,Symmetric to outbound; powered Earth-return with no aerobraking.,2026-09-07,1.14.0
NEA  →  Earth return (aerocap),1500,1.5,Aerocapture reduces propulsive Δv by ~4 km/s (heat-shield mass penalty captured separately under operational_costs TPS row).,2026-09-07,1.14.0
Main belt  →  Earth return,7500,4.0,Per Taylor 2018 — long cruise; favours electric propulsion.,2026-09-07,1.14.0
Lunar surface  →  LEO,5900,0.01,Apollo Lunar Module ascent + plane change — reference for lunar-relay arch.,2026-09-07,1.14.0
LEO  →  TLI (trans-lunar injection),3150,0.01,"Apollo TLI 3.05-3.20 km/s (NASA SP-4029 / Apollo-by-the-Numbers). Effectively the same burn as LEO→Earth-escape, 50 m/s cheaper because the Moon is bound rather than at C3=0.",2026-09-07,1.14.0
TLI  →  NRHO insertion,450,0.01,"Near-rectilinear halo orbit insertion for Gateway / Orion, ~0.4-0.45 km/s (NASA Gateway NRHO trade studies, Whitley & Martinez 2016 'Options for Staging Orbits in Cis-Lunar Space'). NRHO is the cheapest usefully-stable cislunar depot orbit.",2026-09-07,1.14.0
LEO  →  cislunar NRHO depot,3600,0.02,TLI + NRHO insertion.  This is the Δv that a kilogram of asteroid material delivered to NRHO AVOIDS having to be lifted through — it sets the cislunar sale price in Module 2.,2026-09-07,1.14.0
LEO  →  GTO (perigee burn),2455,0.001,"Perigee burn from a 200-km parking orbit onto a transfer ellipse with apogee at 42,164 km: v_p(GTO) 10.239 - v_LEO 7.784 km/s.  Matches the ~2.44-2.46 km/s every GTO launch quotes.",2026-09-07,1.14.0
GTO  →  GEO (circularise + plane change),1836,0.01,"One apogee burn doing two jobs: raise 1.597 km/s to the 3.075 km/s circular speed AND remove 28.5 deg of inclination, combined by the law of cosines rather than added.  Coplanar it would be 1,478; the 358 m/s difference is what an equatorial launch site is worth.",2026-09-07,1.14.0
LEO  →  GEO depot,4291,0.01,"GTO (2,455) + apogee (1,836).  This is the Δv a kilogram delivered to a GEO servicing depot AVOIDS being lifted through, and it sets the geo sale price in Module 2.  Flown as TWO stages there, and staging is worth 5.3%: 2.945 kg in LEO per kg at GEO against 3.101 single-stage.",2026-09-07,1.14.0
GEO  →  Earth (deorbit to entry),1488,0.01,"Lowering perigee from GEO into the atmosphere: 3.075 circular down to the 1.587 km/s apogee speed of an entry ellipse.  Twelve times the LEO deorbit burn, because the whole point of GEO is that it is a long way up.",2026-09-07,1.14.0
TLI  →  low lunar orbit (LOI),900,0.01,"Apollo lunar-orbit insertion, 0.9 km/s (NASA SP-4029).  Larger than NRHO insertion because LLO is a much more tightly bound orbit — which is exactly why NRHO is the cheaper depot.",2026-09-07,1.14.0
NRHO  →  low lunar orbit,730,0.01,"Gateway-to-LLO transfer, ~0.73 km/s (Whitley & Martinez 2016). The price a cislunar depot pays to service the surface.",2026-09-07,1.14.0
LLO  →  lunar surface (descent),1870,0.001,"Apollo LM powered descent, 1.87 km/s including hover and terminal guidance reserve (NASA SP-4029).  No atmosphere means no aerobraking is available — every metre per second is paid for propulsively, which is why the Moon is expensive to reach despite being close.",2026-09-07,1.14.0
LEO  →  lunar surface,5920,0.02,"TLI (3,150) + LOI (900) + descent (1,870).  Sets the lunar-base sale price in Module 2.  Apollo's LEO-to-surface budget was ~6 km/s, which this matches.",2026-09-07,1.14.0
LEO  →  trans-Mars injection,3600,0.7,"Minimum-energy Hohmann TMI at a favourable opportunity; the real figure swings 3.6-4.3 km/s across the 26-month synodic cycle (NASA DRA 5.0).  The low end is used, so the delivered cost is a LOWER bound.",2026-09-07,1.14.0
Mars entry  →  surface (retroprop),800,0.001,Terminal propulsive descent after aeroentry and parachutes. MSL's sky-crane phase used ~0.4 km/s; Starship-class EDL estimates run 0.5-1.0 km/s for supersonic retropropulsion of a heavy lander.  Mid-range taken.  The aeroshell and parachute mass is carried separately as a landed-mass fraction — see Module 2's _MARS_LANDED_MASS_FRACTION.,2026-09-07,1.14.0
Mars surface  →  low Mars orbit,4100,0.001,Mars ascent including gravity and drag losses (NASA DRA 5.0 MAV sizing).  Relevant only to the downleg — shipping material OFF Mars — and it is brutal enough that nothing mined for a Mars base is worth flying home.,2026-09-07,1.14.0
Low Mars orbit  →  Earth (TEI),2100,0.7,Trans-Earth injection from LMO (NASA DRA 5.0).,2026-09-07,1.14.0
Mars arrival  →  1-sol orbit (MOI),900,0.01,"Propulsive capture into the 250 x 33,793 km 1-sol orbit at a Hohmann arrival v_infinity of 2.65 km/s (NASA DRA 5.0).  The periapsis burn sqrt(v_esc^2 + v_inf^2) - v_ellipse at a radius of 3,646 km is 0.90 km/s, against 2.10 km/s to circularise into a 200-km orbit at the same arrival energy.  The saving is the apoapsis that is never brought down.",2026-09-07,1.14.0
LEO  →  Mars 1-sol orbit depot,4500,0.7,"TMI (3,600) + MOI (900).  This is the Δv a kilogram of asteroid material delivered to a Mars-orbit depot AVOIDS being lifted through, and it sets the mars_orbit sale price in Module 2.  Nothing enters the atmosphere and nothing lands, so unlike mars_surface there is no 30% entry-survival fraction stacked on top of it.",2026-09-07,1.14.0
1-sol Mars orbit  →  Earth (TEI),900,0.7,"Trans-Earth injection at periapsis, symmetric with MOI.  A seventh of the 6,200 m/s a kilogram on the SURFACE has to pay (4,100 ascent + 2,100 TEI from LMO), which is why material mined for a Mars-orbit depot can still route home when material landed on Mars cannot.",2026-09-07,1.14.0
NEA  →  LEO delivery (propulsive),3626,1.5,"Circularising into LEO from a v_inf=3 km/s arrival hyperbola: sqrt(v_esc^2 + v_inf^2) - v_circ at 200 km.  The most expensive destination to reach propulsively — LEO sits deepest in the well of the three, which is exactly why material there is worth most per kg and costs most to deliver.  Computed by Module 4's _leo_departure_dv_km_s; excludes the asteroid-departure burn.",2026-09-07,1.14.0
NEA  →  cislunar NRHO (Oberth capture),944,1.6,"Capture at a low perigee into an ellipse reaching lunar distance (494 m/s at v_inf=3 km/s, taking the Oberth benefit of burning deep in the well), then NRHO insertion at apogee (450 m/s). 3.8x cheaper than propulsive LEO capture, and the destination is worth MORE per kg — the two effects compound.  Computed by Module 4's _cislunar_capture_dv_km_s; excludes the asteroid-departure burn.  The advantage widens as arrival energy falls: 5.6x at v_inf=1 km/s, 2.7x at 5 km/s.",2026-09-07,1.14.0
NEA  →  LEO delivery (aerobraked),100,2.0,"Aerocapture into a high ellipse, then multi-pass aerobraking to circularise; drag does the work, so the propulsive cost is only the periapsis-raise burn out of the atmosphere.  Mars Odyssey / MRO flew this for real, saving ~1.2 km/s over ~6 months of passes (JPL).  Buys Δv with TPS mass and MONTHS of time — the duration figure carries that.",2026-09-07,1.14.0
