name,kind,au_min,au_mean,au_max,solar_flux_w_per_m2,solar_array_mass_factor,blackbody_temp_k,cycle_period_hr,eclipse_fraction,dark_period_hr,mass_kg,mean_radius_m,surface_gravity_m_per_s2,escape_velocity_m_per_s,max_earth_range_au,one_way_light_time_min,reference_year,notes,catalog_date,pipeline_version
Low Earth orbit (400 km),earth_orbit,0.9833,1.0,1.0167,1361.0,1.0,278.3,1.545,0.38,0.5871,,,,,2.674e-06,2.22389798736e-05,2026,"ISS-class orbit: 92.7-min period, up to ~36 min of it in Earth's shadow (NASA ISS Facts and Figures).  The most demanding eclipse DUTY CYCLE anywhere in this table - 16 charge/discharge cycles a day, 5,800 a year - and the least demanding dark PERIOD.  Battery sizing reads the second, battery LIFE reads the first.",2026-09-07,1.15.0
Geostationary orbit,earth_orbit,0.9833,1.0,1.0167,1361.0,1.0,278.3,23.934,0.012,0.287208,,,,,0.0002392,0.0019893657388799996,2026,"Eclipses only near the equinoxes: two 45-day seasons, up to 72 min a day, so ~1.2% of the year averaged over it (ITU-R S.1003 / standard GEO mission practice).  Full sun the rest of the time, which is why GEO arrays are sized on end-of-life radiation damage rather than on eclipse.",2026-09-07,1.15.0
Sun-Earth L2,libration_point,0.9933,1.01,1.0267,1334.1829232428192,1.0201,276.91885003544,,0.0,,,,,,0.01003,0.083416966392,2026,"1.5 million km anti-sunward.  A halo orbit there is chosen so the spacecraft never enters Earth's umbra, which is why JWST and Gaia are there: continuous sun, continuous cold-side view, no thermal cycling at all.  Eclipse fraction is 0 by construction of the orbit, not by luck.",2026-09-07,1.15.0
Cislunar NRHO (Gateway),cislunar,0.9833,1.0,1.0167,1361.0,1.0,278.3,157.4,0.01,1.574,,,,,0.00257,0.021374038247999997,2026,"6.56-day near-rectilinear halo orbit (Whitley & Martinez 2016).  The orbit is selected for near-continuous illumination; eclipses are rare and under 90 minutes.  Cheap to hold, cheap to power - the same two properties that make it the cislunar depot orbit in DELTA_V_REFERENCE.",2026-09-07,1.15.0
Low lunar orbit (100 km),cislunar,0.9833,1.0,1.0167,1361.0,1.0,278.3,1.965,0.4,0.786,,,,,0.00257,0.021374038247999997,2026,"118-min period, ~40% of it behind the Moon.  Worse than LEO for both dark period and duty cycle, and unlike LEO there is no atmosphere below to drag a dead spacecraft down: LLO orbits are also unstable against lunar mascons and need station-keeping.",2026-09-07,1.15.0
Lunar surface (equatorial),moon_surface,0.9833,1.0,1.0167,1361.0,1.0,278.3,708.7,0.5,354.35,7.342e+22,1737400.0,1.623381040294872,2375.063038914256,0.00257,0.021374038247999997,2026,"The 29.53-day synodic day, half of it night: a 354-HOUR dark period. At 100 W that is 35.4 kWh of storage, which at the 104 usable Wh/kg in OPERATIONAL_COSTS is 341 kg of battery to keep a 100 W load alive through one night.  This single row is the reason lunar surface power architectures reach for fission rather than for solar.  Mass 7.342e22 kg, mean radius 1,737.4 km (NASA Moon Fact Sheet).",2026-09-07,1.15.0
Lunar surface (polar ridge),moon_surface,0.9833,1.0,1.0167,1361.0,1.0,278.3,708.7,0.14,99.21800000000002,7.342e+22,1737400.0,1.623381040294872,2375.063038914256,0.00257,0.021374038247999997,2026,"A peak of near-eternal light on the Shackleton or de Gerlache rim: ~86% illumination over a year, worst continuous darkness of a few days rather than a fortnight (LRO LOLA illumination modelling, Mazarico et al. 2011).  The reason every lunar south-pole architecture wants the same handful of ridges - and note that the ICE is in the crater below, permanently shadowed, so the power and the water are not in the same place.",2026-09-07,1.15.0
Near-Earth asteroid (low-dv class),neo,1.0,1.2,1.5,945.1388888888889,1.44,254.05197958947957,8.0,0.5,4.0,,,,,2.5167,20.93075566488,2026,"The accessibility class DELTA_V_REFERENCE prices at 4,500 m/s: Earth-like orbit, low eccentricity, low inclination (Elvis et al. 2011, arXiv:1105.4152).  Generic row - distance is the class, not a body, and the flux band between perihelion and aphelion is a factor of 2.25.",2026-09-07,1.15.0
101955 Bennu,neo,0.8969,1.1264,1.3559,1072.6865658090135,1.26877696,262.2206474874738,4.296,0.5,2.148,73290000000.0,244.5,8.182626318892944e-05,0.2000326040908994,2.3726,19.732312508639996,2026,"OSIRIS-REx target, sampled 2020, 121.6 g returned to Utah in 2023 - the best-characterised carbonaceous asteroid there is, and the closest thing this dataset has to a validated mining site.  Mass 7.329e10 kg, mean radius 244.5 m (Lauretta et al. 2019, Nature).  The derived 0.20 m/s escape velocity is the whole problem with operating there: a tossed pebble leaves.",2026-09-07,1.15.0
162173 Ryugu,neo,0.9633,1.1896,1.4159,961.7367555351943,1.41514816,255.16007937421207,7.633,0.5,3.8165,450000000000.0,448.0,0.00014964499960140305,0.3661719809636684,2.4326,20.231317292639996,2026,"Hayabusa2 target, sampled 2019, 5.4 g returned 2020.  Mass 4.50e11 kg, mean radius 448 m (Watanabe et al. 2019, Science).  A rubble pile like Bennu, and the two returned samples agreeing on hydrated carbonaceous composition is the empirical basis for asteroid water as a resource rather than an assumption.",2026-09-07,1.15.0
