name,type,status,trl,first_flight,restartable,propellantless,storage_class,tank_kg_per_L,isru_feed_kg_per_kg,isru_feed_material,dv_penalty_factor,boiloff_pct_per_day,isp_vac_s,exhaust_vel_m_per_s,density_kg_per_L,ref_cost_usd_per_kg,ref_cost_usd_per_L,yfinance_proxy,reference_year,notes,thruster_kg_per_n,thruster_efficiency,thrust_scaling,live_cost_usd_per_kg,live_cost_usd_per_L,live_price_date,live_price_source,cost_usd_per_kg,cost_usd_per_L,price_basis,catalog_date,pipeline_version
kerolox  (RP-1 / LOX),bipropellant,operational,9,1957.0,True,False,mild_cryogen,0.02732564913448735,,,1.0,0.015,340.0,3334.261,1.0152772969374169,0.896969696969697,0.9106729693741679,heating_oil,2026,"Workhorse 1st-stage propellant (Falcon 9, Atlas V kerolox).  Vac Isp 340 s per RocketCEA / Astronautix.  Combined cost weighted at 1:2.30 RP-1:LOX mix ratio.",,,,,,,,0.896969696969697,0.9106729693741679,reference,2026-09-07,1.14.0
hydrolox  (LH2 / LOX),bipropellant,operational,9,1961.0,True,False,deep_cryogen,0.0351261336058245,1.2857142857142858,water,1.0,0.05,452.0,4432.605799999999,0.36114420743389963,1.5999999999999999,0.5778307318942394,,2026,"Highest chemical Isp.  Vac Isp 452 s per RS-25 / RL-10 datasheets. LH2 base price $3-6/kg (NASA contracts); bulk-handling overhead lifts effective cost to ~$10/kg.  Used on SLS, Centaur.",,,,,,,,1.5999999999999999,0.5778307318942394,reference,2026-09-07,1.14.0
methalox  (LCH4 / LOX),bipropellant,operational,9,2023.0,True,False,mild_cryogen,0.028749999999999998,,,1.0,0.012,380.0,3726.5269999999996,0.8326100293211036,0.24347826086956526,0.20272244192166003,natural_gas,2026,Raptor (Starship) & BE-4 (Vulcan / New Glenn) engines.  Vac Isp 380 s per SpaceX Raptor public data.  LCH4 ~$400/tonne open-market per Mobius Market Research 2024.  ISRU-makeable on Mars.,,,,,,,,0.24347826086956526,0.20272244192166003,reference,2026-09-07,1.14.0
MMH / NTO  (hypergolic),bipropellant,operational,9,1965.0,True,False,storable_liquid,0.024999999999999998,,,1.0,0.0,336.0,3295.0344,1.158542713567839,59.528301886792455,68.96608040201004,,2026,"Storable hypergolic — standard for deep-space manoeuvring (OMS, RCS, OSIRIS-REx propulsion).  Vac Isp 336 s per Astronautix N2O4/MMH datasheet.  Pricing from DOD FY20 standards.",,,,,,,,59.528301886792455,68.96608040201004,reference,2026-09-07,1.14.0
Hydrazine  (monoprop),monopropellant,operational,9,1960.0,True,False,storable_liquid,0.025,,,1.0,0.0,220.0,2157.4629999999997,1.01,75.0,75.75,,2026,"Attitude control + small Δv.  Cat-bed decomposition.  Vac Isp 220 s (Astronautix Hydrazine page).  Pricing: DOD FY20 standard $30.5/kg, commercial $75.8/kg (AIAA 2024).  Used $75/kg conservative for aerospace.",,,,,,,,75.0,75.75,reference,2026-09-07,1.14.0
Xenon  (Hall / ion),electric,operational,9,1998.0,True,False,supercritical_gas,0.038265306122448974,,,1.5,0.0,3000.0,29419.949999999997,2.0,10000.0,20000.0,,2026,"10× the Isp of chemical; low thrust ⇒ months of burn.  Used by Dawn, BepiColombo, NEXT-C.  SETS Space 2024: $5-12k/kg for 99.999% aerospace-grade Xe; used $10k/kg (2023 EFC reference).",54.0,0.7,continuous,,,,,10000.0,20000.0,reference,2026-09-07,1.14.0
Argon  (Hall / ion),electric,operational,9,2023.0,True,False,supercritical_gas,0.06887755102040816,,,1.5,0.0,1500.0,14709.974999999999,0.3,10.0,3.0,,2026,"Starlink-V2 thruster choice (SpaceX claims 2.4× thrust, 1.5× Isp of their previous Kr design).  Bulk industrial $7-15/kg per SETS Space 2024; used $10/kg midpoint.
v1.10.0: stored SUPERCRITICAL at 18 MPa and ambient temperature, 0.30 kg/L, which is what has flown — no spacecraft has ever carried cryogenic argon.  Until v1.10.0 this row took liquid-argon density (1.395 kg/L, 87.3 K) and a boil-off of zero at the same time, which gave it the lightest tank of any gas here and no cryogenic hold penalty.  Honestly stored it pays 22.9% of its own mass in COPV against krypton's 12.5% and xenon's 1.9% — argon is the LIGHTEST noble gas, so it is the worst of the three to bottle, and $10/kg does not buy that back.  The cryogenic article is a separate row below.",40.0,0.4,continuous,,,,,10.0,3.0,reference,2026-09-07,1.14.0
UDMH / NTO  (hypergolic),bipropellant,operational,9,1965.0,True,False,storable_liquid,0.024999999999999998,,,1.0,0.0,318.0,3118.5146999999997,1.178728856996412,47.5,55.98962070732957,,2026,"Proton and Long March heritage; still the most-flown storable bipropellant by tonnage.  Vac Isp 318 s (Astronautix N2O4/UDMH) at 2.6 O/F.  Slightly worse than MMH/NTO and considerably more carcinogenic — present for completeness, not because it wins.",,,,,,,,47.5,55.98962070732957,reference,2026-09-07,1.14.0
Aerozine-50 / NTO  (hypergolic),bipropellant,operational,9,1964.0,True,False,storable_liquid,0.024999999999999998,,,1.0,0.0,320.0,3138.1279999999997,1.2064035626535627,53.33333333333333,64.34152334152334,,2026,50/50 UDMH-hydrazine by mass.  Apollo Service Propulsion System and the Titan family; the engine that had to light after eight days in cislunar space and always did.  Vac Isp 320 s (Astronautix AJ10-137).,,,,,,,,53.33333333333333,64.34152334152334,reference,2026-09-07,1.14.0
Green monoprop  (ASCENT / AF-M315E),monopropellant,operational,9,2019.0,True,False,storable_liquid,0.025,,,1.0,0.0,235.0,2304.56275,1.47,500.0,735.0,,2026,"Hydroxylammonium nitrate monoprop.  Flown on NASA's Green Propellant Infusion Mission (2019); the Swedish LMP-103S equivalent flew earlier on PRISMA (2010).  Isp 235 s and ρ 1.47 kg/L beat hydrazine on BOTH counts — ~50% more density-impulse — and it is not acutely toxic, which is a ground-handling saving this model does not price.  The $500/kg is pilot-scale production, not chemistry.",,,,,,,,500.0,735.0,reference,2026-09-07,1.14.0
