category,unit,value,range_low,range_high,notes,reference_year,catalog_date,pipeline_version
Spacecraft development (NRE),USD per program,588500000.0,100000000.0,2000000000.0,Anchor: OSIRIS-REx spacecraft development = $588.5M actual (Planetary Society / NASA budget breakdown).  Discovery-class deep-space platform.  Range covers SmallSat ($100M) → flagship ($2B+).,2026,2026-09-07,1.14.0
Mining payload recurring cost,USD per kg of mining hardware,300000.0,100000.0,1000000.0,Burdened recurring hardware cost for deep-space-rated mining equipment.  Anchor: Aerospace Corp Small Mission Cost Model and NASA NICM bracket recurring deep-space hardware at $100k-$1M/kg.  Asteroid-mining rigs trend mid-range due to regolith-contact mechanisms.,2026,2026-09-07,1.14.0
Return capsule recurring cost,USD per kg of return-capsule dry mass,150000.0,50000.0,400000.0,"v1.3.0.  Was previously billed at the mining-payload rate ($300k/kg), which over-prices it: a sample-return capsule is structure + TPS frame + parachute + beacon, with no regolith-contact mechanisms, no manipulator, no power or propulsion system, and no science payload.  Stardust and the OSIRIS-REx SRC are the heritage.  Half the mining-rig rate; range spans a bare capsule to one with active thermal and guided entry.",2026,2026-09-07,1.14.0
Berthing adapter recurring cost,USD per kg of delivery-vehicle dry mass,60000.0,30000.0,150000.0,"v1.4.0.  In-space delivery (LEO / cislunar depot) replaces the re-entry capsule with a passive berthing adapter + cargo carrier: structure, latches, grapple fixture, RF beacon.  No TPS, no parachute, no guided-entry GNC, no flotation or beacon-for-recovery.  Priced well under the $150k/kg re-entry capsule rate and near the low end of the NICM/SSCM recurring bracket, since it is the simplest deep-space-rated structure in the catalog.  Heritage: Cygnus PCM, Dragon trunk, the passive half of the NASA Docking System.",2026,2026-09-07,1.14.0
Surface lander recurring cost,USD per kg of lander dry mass,200000.0,100000.0,500000.0,"v1.5.0.  Delivering to a lunar or Mars SURFACE base needs a lander, not a berthing adapter: throttleable descent engines, landing legs, terminal guidance and hazard avoidance, plus the GNC to fly it.  More capable than the $150k/kg re-entry capsule (which is passive after entry) and less than the $300k/kg regolith-contact mining rig.  Heritage: Apollo LM descent stage, and the CLPS landers (Intuitive Machines Nova-C, Astrobotic Peregrine, Blue Moon MK1).  A Mars lander carries the TPS row on top, because it has to survive entry as well as land.",2026,2026-09-07,1.14.0
Depot berthing & handover operations,USD per delivery,2000000.0,500000.0,8000000.0,"v1.4.0.  In-space counterpart to 'Sample recovery operations'. Rendezvous-and-proximity-operations support, depot crew or robotic-arm time, cargo survey and handover.  Far cheaper than an Earth recovery campaign: no search aircraft, no ships, no range clearance, no clean-room convoy.  Scaled from ISS visiting-vehicle berthing ops rather than the $15M OSIRIS-REx UTTR recovery.  ESTIMATE — no commercial depot exists yet.",2026,2026-09-07,1.14.0
Heat shield / TPS for Earth return,USD per kg of TPS mass,50000.0,20000.0,150000.0,Flight-rated PICA-X / AVCOAT-class TPS material + manufacturing. Required for the aerocapture-return Δv segment.  NOTE: NASA / SpaceX have not published a per-kg PICA-X cost; figure is an engineering estimate.  Stardust / OSIRIS-REx capsule heritage (see NTRS 20140005558 for material data).,2026,2026-09-07,1.14.0
Propellant tank recurring cost,USD per kg of tank dry mass,6000.0,3000.0,25000.0,"v1.10.0.  Module 3 has derived tank MASS per propellant since v1.9.0 (tank_kg_per_L) and Module 4 has flown it through the rocket equation since then — but nothing ever priced it, so the tank paid its launch $/kg and cost nothing to build.  That is the same mass-without-a-price asymmetry as the free electric-propulsion stage, just smaller.
Derived from Centaur III, the closest flight article: ~1,880 kg of stage structure, ~$30M for the stage against ~$20M for the RL10 it carries, so ~$10M of structure ≈ $5,300/kg.  Rounded up to $6,000 and quoted as a LOWER BOUND, consistent with the rest of this table: Centaur is a mature production article and a deep-space tank holding propellant for four years needs insulation Centaur does not carry.  The upper end of the range is where a one-off, long-duration cryogenic tank plausibly lands.
It is deliberately the CHEAPEST hardware rate here — below the $60k/kg passive berthing adapter — because a tank is the simplest article in the mission: no mechanisms, no docking interface, no re-entry.  Do not read its small effect as a reason to drop it; the point of the line is that every kilogram in the mass cascade has one.",2026,2026-09-07,1.14.0
Mission operations,USD per mission-year,31400000.0,15000000.0,100000000.0,Anchor: OSIRIS-REx prime ops = $283M over 9 yr = $31.4M/yr (NASA / Planetary Society).  Ground team + mission control + planning. Range covers SmallSat ($15M) → flagship ($100M+).,2026,2026-09-07,1.14.0
Deep Space Network time,USD per DSN hour (34-m dish),1530.0,1000.0,4000.0,DSN aperture fee for 34-m antenna.  NASA Mission Operations and Communications Services (MOCS) cited $1057/hr in FY09; CPI-adjusted to 2026 ≈ $1530/hr.  70-m apertures ~$4k/hr. Authoritative current rates: dse.jpl.nasa.gov/ext/ calculator.,2026,2026-09-07,1.14.0
