name,operator,status,payload_leo_kg,payload_gto_kg,payload_escape_kg,fairing_volume_m3,list_price_usd,usd_per_kg_to_leo,usd_per_kg_to_gto,usd_per_kg_to_escape,reference_year,notes,launch_type,origin,trl,max_accel_g,tanker_flights_for_escape,country,availability,reusability,core_propellant,first_flight_year,price_basis,list_price_usd_low,list_price_usd_high,payload_leo_kg_low,payload_leo_kg_high,payload_gto_kg_low,payload_gto_kg_high,payload_escape_kg_low,payload_escape_kg_high,usd_per_kg_to_leo_low,usd_per_kg_to_leo_high,usd_per_kg_to_gto_low,usd_per_kg_to_gto_high,usd_per_kg_to_escape_low,usd_per_kg_to_escape_high,catalog_date,pipeline_version
Falcon 9 (reusable),SpaceX,operational,17400,5500.0,2500.0,145.0,74000000,4253,13455.0,29600.0,2026,"Source: SpaceX list price (raised to $74M Feb 2026 per SatBase) + Falcon 9 Payload User's Guide.  All payload figures are the drone-ship recovery (reusable) config; see the expendable row. 689 launches, 2 in-flight failures (CRS-7, Starlink 9-3) as of mid-2026.  The LEO low end is the ~17.4 t Starlink stack actually flown, to a LOW insertion orbit: a customer payload to a 400-500 km orbit gets less.",chemical_rocket,earth_surface,9,6.0,0,USA,open,first_stage,kerolox,2010,published,74000000,74000000,17400,17500,5500.0,5500.0,2500.0,2500.0,4229,4253,13455.0,13455.0,29600.0,29600.0,2026-09-23,1.16.0
Falcon 9 (expendable),SpaceX,operational,22800,8300.0,4020.0,145.0,104000000,4561,12530.0,25871.0,2026,"Source: SpaceX / Wikipedia payload figures.  SpaceX does not publish an expendable price; $90-120M is the range implied by NASA and NSSL task orders flown expendable; the headline is the centre of that range.  Escape is the published Mars-transfer figure, which is harder than C3=0 and so conservative for it.",chemical_rocket,earth_surface,9,6.0,0,USA,open,expendable,kerolox,2010,estimate,90000000,120000000,22800,22800,8300.0,8300.0,4020.0,4020.0,3947,5263,10843.0,14458.0,22388.0,29851.0,2026-09-23,1.16.0
Falcon Heavy (reusable side cores),SpaceX,operational,30000,8000.0,3500.0,145.0,100000000,3333,12500.0,28571.0,2026,"Source: SpaceX $97M (2022) for up to 8 t to GTO with boosters recovered.  The high end carries that forward by the Feb 2026 Falcon 9 rise ($70M -> $74M) to $103M, since SpaceX raised one and the other quote is four years old.  SpaceX publishes no LEO figure for this config: 30 t is the figure in Wikipedia's launcher comparison.  The 57 t this row carried until v1.16.0 had no source and is gone rather than kept as an optimistic end: the headline is now the centre of each band, so an unsourced end would move it.  13 flights, 13 successes; 1 of 3 centre-core landings.",chemical_rocket,earth_surface,9,6.0,0,USA,open,side_boosters,kerolox,2018,published,97000000,103000000,30000,30000,8000.0,8000.0,3500.0,3500.0,3233,3433,12125.0,12875.0,27714.0,29429.0,2026-09-23,1.16.0
Falcon Heavy (expendable),SpaceX,operational,63800,26700.0,16800.0,145.0,154000000,2414,5768.0,9167.0,2026,"Source: SpaceX $150M (2017) for the fully expendable config, carried forward by the 2026 Falcon 9 rise to $159M.  The 63.8 t LEO figure has never been flown; no Falcon Heavy payload has come close to it.  Volume, not mass, binds first at this size: the fairing is the Falcon 9 fairing.",chemical_rocket,earth_surface,9,6.0,0,USA,open,expendable,kerolox,2018,published,150000000,159000000,63800,63800,26700.0,26700.0,16800.0,16800.0,2351,2492,5618.0,5955.0,8929.0,9464.0,2026-09-23,1.16.0
SLS Block 1,NASA,operational,95000,,27000.0,,2650000000,27895,,98148.0,2026,"Source: NASA OIG — $2.2B SLS production + $568M ground systems per launch (IG-22-003, Nov 2021), and 'at least $2.5B' recurring (Oct 2023).  Launch vehicle ONLY: the widely quoted ~$4.1B is per Artemis flight and includes Orion and its service module. Artemis I (Nov 2022) and Artemis II (crewed, Apr 2026).  In Feb 2026 NASA cancelled Block 1B and the Exploration Upper Stage and standardised on this configuration.  It has no cargo fairing in service, so there is no fairing volume.",chemical_rocket,earth_surface,9,6.0,0,USA,government_only,expendable,hydrolox,2022,reported,2500000000,2800000000,95000,95000,,,27000.0,27000.0,26316,29474,,,92593.0,103704.0,2026-09-23,1.16.0
Atlas V 551,ULA,operational,18814,8900.0,6500.0,233.0,153000000,8132,17191.0,23538.0,2026,"Source: ULA RocketBuilder $153M base (2016); government missions add $30-80M for mission assurance (SpaceNews 2024).  NOT FOR SALE: ULA stopped selling Atlas V in Aug 2021 and every remaining vehicle is allocated, the last of them to Starliner. Kept because its flight record is the reference that newer vehicles' prices are argued against.",chemical_rocket,earth_surface,9,6.0,0,USA,sold_out,expendable,kerolox,2006,published,153000000,153000000,18814,18850,8900.0,8900.0,6500.0,6500.0,8117,8132,17191.0,17191.0,23538.0,23538.0,2026-09-23,1.16.0
Vulcan Centaur VC2,ULA,operational,16300,8300.0,4720.0,233.0,110000000,6748,13253.0,23305.0,2026,"Source: ULA 'starting at $110M', which is the smallest configuration, so this row is the only one it prices directly.  Payloads from ULA via Wikipedia.  Escape band runs from Mars transfer (harder than C3=0) to TLI (easier).  Maiden flight carried Peregrine, Jan 2024.",chemical_rocket,earth_surface,9,6.0,0,USA,open,expendable,methalox,2024,published,110000000,110000000,16300,16300,8300.0,8300.0,3600.0,6200.0,6748,6748,13253.0,13253.0,17742.0,30556.0,2026-09-23,1.16.0
Vulcan Centaur VC4,ULA,operational,21400,11600.0,7390.0,233.0,120000000,5607,10345.0,16238.0,2026,"Source: ULA payload figures via Wikipedia.  ULA's $110M is a STARTING price and each pair of GEM 63XL boosters adds to it; $130M is an estimate, not a quote.  Two of four Vulcan flights to Feb 2026 had a GEM 63XL anomaly (a lost nozzle Oct 2024, a malfunction Feb 2026) that the core stage flew through.",chemical_rocket,earth_surface,9,6.0,0,USA,open,expendable,methalox,2025,estimate,110000000,130000000,21400,21400,11600.0,11600.0,6000.0,9100.0,5140,6075,9483.0,11207.0,12088.0,21667.0,2026-09-23,1.16.0
Vulcan Centaur VC6,ULA,operational,26400,14800.0,9270.0,233.0,128000000,4848,8649.0,13808.0,2026,"Source: ULA payload figures via Wikipedia; the high ends are the RL10E-upgraded Centaur.  Until v1.16.0 this row priced VC6 at $110M, which is ULA's STARTING price for the smallest config; six GEM 63XLs are not free, and $150M is an estimate. Its old 7,200 kg 'escape' figure was the GEO payload; escape now runs Mars transfer to TLI.  THIS CONFIGURATION HAS NOT FLOWN: all four Vulcan flights to Feb 2026 were VC2S or VC4S, and the first VC6 is manifested for Oct 2026.  Kept 'operational' as a configuration of a flying vehicle, at TRL 8.",chemical_rocket,earth_surface,8,6.0,0,USA,open,expendable,methalox,,estimate,110000000,150000000,25600,27200,14400.0,15300.0,7600.0,11300.0,4044,5859,7190.0,10417.0,9735.0,19737.0,2026-09-23,1.16.0
New Glenn,Blue Origin,operational,45000,13600.0,7000.0,480.0,86500000,1922,6360.0,12357.0,2026,"Source: Blue Origin / Wikipedia, $68-110M reported range.  Until v1.16.0 this row used the LOW end; the headline is now the centre of the range.  Three flights: NG-1 Jan 2025 (orbit, booster lost), NG-2 Nov 2025 (ESCAPADE, first landing), NG-3 Apr 2026 (first booster reuse, but BlueBird 7 was left in an off-nominal orbit).  The 45 t LEO figure has not been flown.",chemical_rocket,earth_surface,9,6.0,0,USA,open,first_stage,methalox,2025,reported,68000000,110000000,45000,45000,13600.0,13600.0,7000.0,7000.0,1511,2444,5000.0,8088.0,9714.0,15714.0,2026-09-23,1.16.0
