name,domain,unit,value,range_low,range_high,status,trl,reference_year,notes,catalog_date,pipeline_version
Low-pressure liquid propellant tank,propellant,kg of tank per litre of propellant,0.025,0.013,0.035,operational,9,2026,"The base figure every non-pressurised storage class in PROPELLANTS_REFERENCE multiplies.  Bracketed by three flight articles: Shuttle ET 0.0129 kg/L (big dumb tank, cheap per litre), Falcon 9 stage 2 ~0.033, Centaur III ~0.035 (the last two include thrust structure and avionics mounts).  Derivation and the ∝V-vs-∝V^⅔ caveat are at _TANK_BASE_KG_PER_L.",2026-09-07,1.14.0
COPV burst performance factor,propellant,J per kg (PV/W),392000.0,250000.0,600000.0,operational,9,2026,"~40 km × g0.  Sets tank mass for every supercritical-gas propellant: m/V = 1.5·p_operating/(PV/W).  This is why xenon at 10 MPa pays 1.9% of its mass in tankage and krypton at 18 MPa pays 12.5% — the cheaper propellant needs the heavier bottle, and the trade did not exist in this model before.",2026-09-07,1.14.0
Multi-layer insulation (passive),propellant,kg per m² of tank surface,1.2,0.5,3.0,operational,9,2026,"60-layer aluminised-Mylar blanket, the passive baseline behind every boiloff_pct_per_day figure in the propellant table. Carried inside the storage-class tank multipliers rather than as a separate area term, because this pipeline never computes a tank's surface area — only its volume.",2026-09-07,1.14.0
Zero-boil-off cryocooler (20 K),propellant,W electrical input per W lifted at 20 K,80.0,50.0,150.0,development,5,2026,"Reverse-turbo-Brayton.  Carnot at 20 K against a 300 K reject is 14 W/W and real machines run 15-25% of Carnot, so 50-150 W/W.  NASA's ZBO and eCryo programmes have run 20 K coolers on the ground; nothing has flown on a propellant tank.
This is the row that turns boil-off from a fact into a CHOICE: spend array mass and power, keep the hydrogen.  Module 4 does not offer that choice yet — it applies boiloff_pct_per_day passively — so hydrolox is charged the full 0.05%/day with no option to buy it down.  That is conservative for hydrolox and it is a known gap, not a modelling decision.",2026-09-07,1.14.0
Cryocooler specific mass (20 K),propellant,kg per W lifted at 20 K,5.0,2.0,15.0,development,5,2026,"Cold head, compressor, recuperator and radiator.  Pairs with the row above: a tank leaking 20 W needs ~100 kg of machine and ~1.6 kW of electrical power to hold it at zero boil-off, and the array for that 1.6 kW is another ~27 kg at 1 AU and ~240 kg at 3 AU.  Which is why zero-boil-off is a near-Sun answer and passive tolerance is the far one.",2026-09-07,1.14.0
Vapour-cooled shield,propellant,fraction of passive boil-off removed,0.4,0.25,0.6,operational,8,2026,"Route the boil-off gas through a shield on its way overboard and it intercepts heat that would have boiled more.  Free in power, cheap in mass, and it only works while something is already boiling.  Flown on ground and airborne cryogenic systems; the 0.05%/day hydrolox figure already assumes a good passive stack including this.",2026-09-07,1.14.0
Bulk ore restraint (bag / hopper),cargo,kg of containment per kg of ore,0.15,0.08,0.3,development,4,2026,"Tankage, primary structure and cargo restraint for loose regolith.  This is the number Module 4 carries as `return_structure_frac_of_payload`, recorded here so the cargo side of storage has a citation of its own.  Real cargo spacecraft run 0.4:1 to 2:1 payload-to-structure; 0.15 is aggressive and assumes dense ore in a body-mounted hopper rather than a pressurised hold.  Before v1.10.0 it was zero and the cascade happily loaded 125 t of ore into a 500 kg can.",2026-09-07,1.14.0
Volatile cargo containment (water ice),cargo,kg of containment per kg of volatile cargo,0.05,0.03,0.12,development,4,2026,"Water sold at a depot has to still be water on arrival.  In vacuum at 1 AU, exposed ice in sunlight sits well above its sublimation threshold and is simply gone; shaded and blanketed it is stable for decades.  So the cost is a sealed, shaded hold — heavier than an ore hopper, far lighter than a cryogen tank, and no active power.
✅  MODELLED as of Module 4 v1.14.0, through the 'Volatile cargo containment' OPERATIONAL_COSTS row — this table is not one Module 4 loads, which is why the figure sat here unread for two releases while the pipeline priced water at every in-space destination and charged nothing to keep it through a four-year cruise.  It was not a rounding term: the best cislunar missions run ~88% water by mass, so the commodity carrying the result was the one flying free.",2026-09-07,1.14.0
Sintered / consolidated cargo,cargo,Wh per kg of ore consolidated,350.0,150.0,800.0,concept,3,2026,"Melt or sinter the concentrate into billets and the restraint problem mostly goes away — a solid block needs mounts, not a hopper, and it cannot migrate under thrust or leak dust into mechanisms.  Trades containment mass for processing energy at a body where power is the binding constraint.  Studied for lunar regolith (microwave sintering); not demonstrated on asteroid material.",2026-09-07,1.14.0
Dust mitigation and seals,cargo,kg per kg of mining hardware,0.08,0.03,0.2,development,5,2026,"Regolith fines are the failure mode that ended Apollo's surface EVAs early and jammed InSight's mole.  In microgravity the dust does not settle at all — Hayabusa2's impactor experiment showed ejecta persisting for hours.  Labyrinth seals, electrodynamic screens and bellows on every joint. Folded into the mining-rig recurring rate in this pipeline rather than charged separately; listed so it is visible.",2026-09-07,1.14.0
Li-ion battery (system level),energy,Wh per kg,130.0,90.0,200.0,operational,9,2026,"Cells reach 250-300 Wh/kg; packaging, harness, cell balancing and thermal roughly halve it at the system level.  Already inside the 60 W/kg 'Power system specific mass' row rather than added to it — that row is explicitly PV + PMAD + battery + structure, which is why it is 60 W/kg against ROSA's ~150 W/kg at the wing.",2026-09-07,1.14.0
Regenerative fuel cell,energy,Wh per kg,400.0,250.0,700.0,development,5,2026,"Electrolyse water in the light, run it back through a fuel cell in the dark.  3× a battery's energy density and it gets better the longer the dark period, because tank mass and converter mass are separate — which is the opposite of a battery.  For a mining rig on a rotating body it is the obvious architecture, and it stores the one consumable the asteroid itself supplies.  Studied by NASA for lunar night survival; not flown.",2026-09-07,1.14.0
Flywheel energy storage,energy,Wh per kg,100.0,40.0,180.0,development,6,2026,"Unlimited cycle life and it doubles as a momentum wheel, which a rotating-body operation needs anyway.  NASA G2 flywheel ran on the ground at 60,000 rpm; the ISS flight unit was cancelled. Energy density is no better than lithium, so it only wins where cycle count or attitude control dominates.",2026-09-07,1.14.0
Eclipse / night-side power fraction,energy,fraction of mission time without sunlight,0.5,0.35,0.55,operational,9,2026,"A rig anchored to a rotating body is in shadow about half the time — typical asteroid rotation periods run 2-20 h, so the dark period is hours, not the 35 minutes of a LEO eclipse. Sizing storage for it roughly DOUBLES the power system for a given continuous draw.
✅  MODELLED as of Module 4 v1.14.0, through the 'Eclipse / night-side dark fraction', 'Energy storage usable specific energy' and 'Power-system row baseline dark period' OPERATIONAL_COSTS rows.  Module 4 now installs [(1−f) + f/η]/(1−f) = 2.11× the continuous draw and adds the storage the body's OWN rotation period demands, less what the 60 W/kg row already carries.  Radioisotope plants are exempt and the EP array is exempt — one is flat with time, the other is in permanent sunlight.",2026-09-07,1.14.0
RTG specific power,energy,W-electric per kg,5.0,2.4,5.5,operational,9,2026,"GPHS-RTG: 290 We at 56 kg = 5.2 W/kg (Cassini, New Horizons). MMRTG: 110 We at 45 kg = 2.4 W/kg (Curiosity, Perseverance) — worse, because it is designed to work in an atmosphere too. Flat with heliocentric distance, which is the entire point: at 1 AU the 60 W/kg solar row beats it twelve times over, at 3 AU solar falls to 6.7 W/kg and they cross, and past ~3.2 AU nuclear wins outright.  The pipeline's catalog runs well past 3 AU.",2026-09-07,1.14.0
Fission surface power (Kilopower class),energy,W-electric per kg,6.7,0.7,15.0,development,5,2026,"KRUSTY demonstrated a 1 kWe uranium-molybdenum reactor with Stirling conversion in 2018 — the first new US space reactor test in decades.  A 10 kWe flight unit is designed around ~1,500 kg, so 6.7 W/kg, and unlike an RTG it scales: the reactor mass is dominated by shielding and radiator, not by fuel.  The only power source in this table that could run a hundred-kilowatt beneficiation plant at 3 AU.",2026-09-07,1.14.0
Orbital propellant depot (cryogenic),depot,% of stored mass lost per day,0.03,0.01,0.1,development,5,2026,"A depot beats a spacecraft tank on boil-off for one geometric reason: heat leak scales with area and capacity with volume, so a big tank leaks proportionally less.  It can also afford the cryocooler and the sunshade that a departure stage cannot. Nothing has flown; SpaceX's propellant-transfer demonstration is the nearest thing in progress.",2026-09-07,1.14.0
Depot refuelling flights to escape,depot,tanker launches per fully-fuelled departure,12.0,8.0,16.0,development,4,2026,"SpaceX's own range for filling a Starship in LEO before a high-energy departure.  Carried on the vehicle row as `tanker_flights_for_escape` and charged by Module 4 from v1.9.0.  Before that, Starship's 27 t to escape — which is larger than its GTO payload precisely BECAUSE it assumes refuelling — was priced at a single $90M launch.  The vehicle row had said so in prose since v1.4.0.",2026-09-07,1.14.0
In-space propellant transfer loss,depot,fraction of transferred mass lost per transfer,0.03,0.01,0.08,development,4,2026,"Chill-down of the receiving tank, residuals in the transfer line, and ullage settling.  Cryogenic transfer in microgravity has been done at small scale (Robotic Refueling Mission, storables) and never at stage scale.  Not modelled by Module 4 — tanker flights are charged, transfer losses are not.",2026-09-07,1.14.0
ISRU propellant depot (asteroid water),depot,USD per kg of propellant delivered to depot,50.0,20.0,200.0,concept,3,2026,"The endpoint the whole pipeline points at: water mined, electrolysed or simply boiled, and left in orbit for the next vehicle.  Carried as `isru_processing_usd_per_kg` in Module 4, where it prices the ISRU return propellant a mission makes for ITSELF.  Selling propellant to a third party is a different market with a different depth, and Module 2 does not price it — the in-space demand ceilings cover materials, not fuel.",2026-09-07,1.14.0
